,Inv,Note
681,"Foto sup 1542, verso del supporto secondario: nota anonima manoscritta","Cloister of S. Maria sopra Minerva. Tomb of Cardinal Astorgius who died in 1451 ..."".
"
682,"Foto sup 1547, verso del supporto secondario: nota anonima manoscritta","S. Maria sopra Minerva. Cloister built by Cardinal Torquemada in 1453 ...""."
683,"Foto sup 1545, verso del supporto secondario: nota anonima manoscritta","Minerva. Detisalvo Neronis f. equiti floren. viro ..."".
"
684,"Foto sup 1546, verso del supporto secondario: nota anonima manoscritta","S. Maria sopra Minerva. Tomb of Francesco Tornabuoni, a florentine, who died sometime after 1471 ...""."
685,"Foto sup 1947, verso del supporto secondario: nota anonima manoscritta","Museum in the Bargello. Florence. / Relief by Benedetto da Rovezzano (1478-1552). / Benedetto was most unfortunate, for his two great works, the chapel and tomb / of S. Giovanni Gualberto in S. Trinità Florence, and the tomb of Cardinal Wolsey / in England, have both come to grief. He ceased to work in 1540, blind, says Vasari, but / not in want and full of courage""."
686,"Foto sup 1548, verso del supporto secondario: nota anonima manoscritta","S. Maria sopra Minerva. Tomb of Benedetto Soranzo, a venetian noble, archbishop of Nicosia ...""."
687,"Foto sup 1549, verso del supporto secondario: nota anonima manoscritta","Cloister of S. Maria sopra Minerva. Monument of Cardinal Ferrex who died in 1478 ...""."
688,"Foto sup 1550, verso del supporto secondario: nota anonima manoscritta","S. Pietro in Vincoli. Monument of Antonio del Pollaiolo who died in 1498 ...""."
689,"Foto sup 1965, verso del supporto secondario: nota anonima manoscritta","This painted terra cotta Etruscan Lady, Larthia Seianti S... (of the family / of Sejanus) was discovered at Chiusi in 1877, brought to Rome and placed / in the Kircherian in 1878 and then removed to the Museum at Florence, / where she now is. She wears a quantity of jewelry: a fillet of flowers with / rubies and emeralds; a girdle studded with rubies; [...] / The date of this monument is said to be 217 B.C. / It cost the Government 10,000 fes. only"".
"
690,"Foto sup 1967, verso del supporto secondario: nota anonima manoscritta","The painted lady came from Chiusi; the great tufo sarc. from Orvieto"". Quest'ultima foto documenta l'allestimento ottocentesco della sala del Museo Archeologico di Firenze dove era conservato il sarcofago di Larthia Seianti."
691,"Foto sup 1553, verso del supporto secondario: nota anonima manoscritta","S. Pudenziana. Rome. Porch of the 8. th. century rebuilt in the 17. th. The whole facade lately renowed by Cardinal Bonaparte""."
692,"Foto sup 1557, verso del supporto secondario: nota anonima manoscritta","Pyramid of Caius Cestius ...""."
693,"Foto sup 1554, verso del supporto secondario: nota anonima manoscritta","S. Pudenziana. Campanile about 1200""."
694,"Foto sup 1556, verso del supporto secondario: nota anonima manoscritta","Catacombs. Rome. Fresco of an Orante (772-795) from the Catacombs of SS. Saturnino e Trasone on the Via Salaria""."
695,"Foto sup 1558, verso del supporto secondario: nota anonima manoscritta","Tomb of Cecilia Metella called Torre de Bove, or Capo de Bove ...""."
696,"Foto sup 1560, verso del supporto secondario: nota anonima manoscritta","Interior of Porta San Sebastiano with Arch of Drusus and aqueduct thereon""."
697,"Foto sup 1561, verso del supporto secondario: nota anonima manoscritta","Interior of Porta di San Paolo. Gateway fortress of Honorius, a. d. 400 ...""."
698,"Foto sup 1563, verso del supporto secondario: nota anonima manoscritta","Exterior of Porta di San Lorenzo. The stone work is of the age of Honorius a. d. 400 ..."". 
"
699,"Foto sup 1087, verso del supporto secondario: nota anonima manoscritta","Porta S. Lorenzo. Shows the interior anteport destroyed in my time"". "
700,"Foto sup 1564, verso del supporto secondario: nota anonima manoscritta","Cancelleria. Roma. Door of Bramante circa 1505"".
"
701,"Foto sup 1565, verso del supporto secondario: nota anonima manoscritta","Cancelleria. Rome. Beautiful door of Bramante about 1505 ..."".
"
702,"Foto sup 1566, verso del supporto secondario: nota anonima manoscritta","Via dei Coronari. Rome. Doorway in the style of Bramante about 1500. The palazzo belonged to the Fioravanti"".
"
703,"Foto sup 1968, verso del supporto secondario: nota anonima manoscritta","This bronze Athena was found at Arezzo in 1541. / She to me is rather a doubtlful Etruscan bronze and / may quite well be a Roman. She is damaged by fire / and assigned to the 3.d Century B.C."".
"
704,"Foto sup 1567, verso del supporto secondario: nota anonima manoscritta","Vatican. Beautiful renaissance door of Bramante about 1515"".
"
705,"Foto sup 1968, verso del supporto secondario: nota anonima manoscritta","The Orator was found near the lake of Perugia in 1565. The Etruscan / inscription on the hem of his garment says that the son dedicated it / to his father Aulus Metellus. It is of Etrusco-roman times and not / much older than the Christian era"".
"
706,"Foto sup 1970, verso del supporto secondario: nota anonima manoscritta","The Idolino was found at Pesaro in 1530 and brought to Florence in her / trousseau by Vittoria della Rovere when she married Ferdinand II in 1640. / The bronze is a Greek work of the school of Myror. Its beautiful base / with an inscription by Bembo, who supposed the figure to represent / Bacchus, is a very good work of the Renaissance and made at Pesaro. / Says Collignon: [...] Ke... says the same. / [...] Furtwangler says he is of the school of Polyklet [...] Bembo makes him say: Ut potui huc veni, Delphis et fratre relicti. / Milani says: / Neither of the arms from the biceps down is original and Kedule / is of the same opinion. The right hand in particular is wooden"".
"
707,"Foto sup 1971, verso del supporto secondario: nota anonima manoscritta","The Chimera dire found at Arezzo in 1554. / The tail has been stuck on; the inscription is the same as that to be read / on the Griffon in the Museum of Leyden. Explanation [?] vague."".
"
708,"Foto sup 1568, verso del supporto secondario: nota anonima manoscritta","Fresco from tomb and columbaria of Taurus Statilins near Porta Maggiore discovered in 1875 ...""."
709,"Foto sup 1972, verso del supporto secondario: nota anonima manoscritta","Morelli calls this picture a Giorgione""."
710,"Foto sup 1973, verso del supporto secondario: nota anonima manoscritta","The Scythian sharpening his knife previous to flaing [?] Marsyas. / Schythians were the public executiners at Athens. / A good copy of an original of the Pergamon school, circa 200 B.C. / Amelung 68"".
"
711,"Foto sup 1571, verso del supporto secondario: nota anonima manoscritta","An exemple of how a sarcophagus is used as the trough of a fountaine in the court yard of a Roman palazzo. Strigil ornament of a second or third century"".
"
712,"Foto sup 1573, verso del supporto secondario: nota anonima manoscritta","Roma. S. Tommaso degli Inglesi [...] Cardinal Bainbrigg was personed at the altar. His snuffers are in the British Museum [...]"".
"
713,"Foto sup 1574, verso del supporto secondario: nota anonima manoscritta","This Greek stele was found in 1764 near the arc of Gallienus ...""."
714,"Foto sup 1975, verso del supporto secondario: nota anonima manoscritta","A replica a statue of the school of Praxiteles, but so much / scraped and pointed that it is of little importance. / Amelung 69"".
"
715,"Foto sup 1575, verso del supporto secondario: nota anonima manoscritta","Back view of Hercules sarc. Subyects ...""."
716,"Foto sup 1976, verso del supporto secondario: nota anonima manoscritta","The Mater dolorosa of classical art. / Scopas in his old age is now hold to be the sculptor of the / group. Amelung 174"".
"
717,"Foto sup 1985, verso del supporto secondario: nota anonima manoscritta","Of the entire group, consisting of the mother, 6 sons, 6 daughters, / the paedagogue and the nurse, 3 daughters, 1 son and the nurse / are waiting [?] at Florence. Amelung. 174""."
718,"Foto sup 1577, verso del supporto secondario: nota anonima manoscritta","Palazzo Farnese. Sarcophagus said to have been found in the tomb of Cecilia Matella ...""."
719,"Foto sup 1977, verso del supporto secondario: nota anonima manoscritta","The inscription is now held to be modern. / Amelung holds the statue to be Greek, if not an original, / and dates her at the beginning of the third century B.C. / of the school of Praxiteles; much broken, but little restored. / Amelung 67"".
"
720,"Foto sup 1980, verso del supporto secondario: nota anonima manoscritta","Sal. Reinach says:""."
721,"Foto sup 1578, verso del supporto secondario: nota anonima manoscritta","Eneas Piccolomini who died in 1464 was buried in this Christian sarc. before his ...""."
722,"Foto sup 1978, verso del supporto secondario: nota anonima manoscritta","Copy of a bronze of the school of Lysippus, which bronze would date / at circa 250 B.C. Much restored. The heads don't belong to the / wrestlers; the are antique and belong perhaps to the Niobids / with which group the wrestless were found near the Lateran in 1583. Amelung 66""."
723,"Foto sup 1579, verso del supporto secondario: nota anonima manoscritta","Marcello Cervini who sat but 22 days ...""."
724,"Foto sup 1580, verso del supporto secondario: nota anonima manoscritta","Tomb of Alexander 6., (who died in 1503) before his remains were transfered to S. Maria di Monserrato ...""."
725,"Foto sup 1581, verso del supporto secondario: nota anonima manoscritta","Rome. Court of the old Palazzo Mattei, now called the Palazzetto circa 1300""."
726,"Foto sup 1986, verso del supporto secondario: nota anonima manoscritta","He is working the krupezion with his foot. The head, arms, etc. are / new, but the statue may be an original of circa 250 B.C. / Amelung 65""."
727,"Foto sup 2119, verso del supporto secondario: nota anonima manoscritta","Romano-greco art of early empire. Subject uncertain. / It has been much restored and large portions are new""."
728,"Foto sup 113, verso del supporto secondario: nota anonima manoscritta","Monument of Antonio d'Orso, bishop of Florence. / On the sarcophagus Mary queen of heaven presents the bishop to / the blessing Jesus. Above the dead bishop seated: this is / said to be the first example of the kind""."
729,"Foto sup 1586, verso del supporto secondario: nota anonima manoscritta","N. 179. Museo Chiaramonti Vatican. Sarcophagus with the Alcestis myth found at Ostia ...""."
730,"Foto sup 1588, verso del supporto secondario: nota anonima manoscritta","S. Onofrio on the Janiculum. Monument to Bishop Giovanni Sacco of Ancona Archbishop of Ragusa, who died in 1503 ...""."
731,"Foto sup 1589, verso del supporto secondario: nota anonima manoscritta","Nicolas of Sarzana died in 1455. He took Peters crossed kys for his coat and died for prief on account of the loss of Costantinople in 1453. So says the legend"". "
732,"Foto sup 1590, verso del supporto secondario: nota anonima manoscritta","Empty rude Gotic sarcophagus of Pope Urban 6. Prignani, the wriked Pope who tortured and killed 6 Cardinals ...""."
733,"Foto sup 1591, verso del supporto secondario: nota anonima manoscritta"," Paul 2. died in 1471, aged A. 53, M. 5. D. 3. He sat A. 6. M. 10. D. 25 ...""."
734,"Foto sup 1592, verso del supporto secondario: nota anonima manoscritta"," Bonifacio 8. in the Sacre Grotte. This tomb is said to have been made by Arnolfo del Cambio. The mosaic of the coats ot the base of the monument ...""."
735,"Foto sup 1593, verso del supporto secondario: nota anonima manoscritta","N. Breakspeare died in 1159; he crowhed Barbarossa. His tomb of red ...""."
736,"Foto sup 1594, verso del supporto secondario: nota anonima manoscritta","Sacre Grotte below St. Peters. Rome. S. Petri Apostolorum Principis statua marmorea Antiquissima ...""."
737,"Foto sup 1599, verso del supporto secondario: nota anonima manoscritta","Sixtus 4. died in 1484. The monument was not completed till 1493 and Antonio del Pollaiolo died in 1496 ...""."
